# Timing post-processed analysis
# Source   : 2026-03-18_21-16-36_Multi_Timing.csv
# Generated: 2026-03-19 12:25:15
# Points   : 10000
# Disconnects: 0
Timestamp,Total_Ms,Comm_Ms,Address_Switch_Ms,UI_Ms,Record_Ms,Had_Error,Rolling_Mean_Total_Ms,Rolling_StdDev_Total_Ms
2026-03-19 03:45:31.652,2529.800,2154.400,375.300,0.000,0.000,0,2517.438,8.0627263
2026-03-19 03:45:34.238,2514.200,2139.000,375.000,0.100,0.000,0,2517.386,8.0666724
2026-03-19 03:45:36.826,2524.500,2153.100,371.300,0.100,0.000,0,2517.394,8.0733242
2026-03-19 03:45:39.409,2524.500,2148.300,376.100,0.000,0.000,0,2517.478,8.1030683
2026-03-19 03:45:41.997,2523.400,2147.300,376.000,0.000,0.000,0,2517.434,8.0587247
2026-03-19 03:45:44.585,2524.600,2147.800,376.700,0.000,0.000,0,2517.42,8.0450357
2026-03-19 03:45:47.169,2526.200,2152.800,373.400,0.000,0.000,0,2517.405,8.0272333
2026-03-19 03:45:49.745,2520.600,2145.700,374.700,0.100,0.000,0,2517.417,8.0311027
2026-03-19 03:45:52.329,2512.700,2141.700,371.000,0.000,0.000,0,2517.367,8.0447381
2026-03-19 03:45:54.901,2522.900,2146.000,376.800,0.100,0.000,0,2517.379,8.0520841
2026-03-19 03:45:57.493,2510.900,2136.900,374.000,0.000,0.000,0,2517.251,8.0523226
2026-03-19 03:46:00.071,2528.300,2153.300,374.800,0.000,0.000,0,2517.53,7.9462759
2026-03-19 03:46:02.647,2513.800,2139.500,374.200,0.000,0.000,0,2517.476,7.953089
2026-03-19 03:46:05.225,2513.400,2138.200,375.100,0.000,0.000,0,2517.506,7.931971
2026-03-19 03:46:07.809,2515.600,2138.500,377.000,0.000,0.000,0,2517.52,7.9273577
2026-03-19 03:46:10.395,2519.600,2143.300,376.200,0.000,0.000,0,2517.408,7.8172972
2026-03-19 03:46:12.982,2525.300,2150.200,375.000,0.000,0.000,0,2517.577,7.8033948
2026-03-19 03:46:15.559,2524.900,2149.200,375.700,0.000,0.000,0,2517.579,7.8052456
2026-03-19 03:46:18.131,2514.100,2138.800,375.300,0.000,0.000,0,2517.637,7.7574823
2026-03-19 03:46:20.697,2509.100,2137.800,371.100,0.100,0.000,0,2517.488,7.7769053
2026-03-19 03:46:23.285,2502.500,2130.800,371.600,0.000,0.000,0,2517.448,7.8433217
2026-03-19 03:46:25.872,2525.600,2150.800,374.700,0.000,0.000,0,2517.442,7.8368512
2026-03-19 03:46:28.451,2524.800,2150.800,373.700,0.200,0.000,0,2517.349,7.6924703
2026-03-19 03:46:31.030,2518.000,2146.000,371.800,0.100,0.000,0,2517.318,7.6835328
2026-03-19 03:46:33.592,2515.700,2139.500,376.100,0.100,0.000,0,2517.382,7.6430279
2026-03-19 03:46:36.168,2498.500,2127.100,371.300,0.100,0.000,0,2517.105,7.8183678
2026-03-19 03:46:38.742,2513.400,2141.700,371.600,0.000,0.000,0,2517.064,7.8269345
2026-03-19 03:46:41.333,2511.600,2135.600,375.900,0.000,0.000,0,2517.013,7.8457333
2026-03-19 03:46:43.921,2528.200,2156.100,372.000,0.000,0.000,0,2517.165,7.9134616
2026-03-19 03:46:46.505,2524.400,2151.400,372.800,0.100,0.000,0,2517.229,7.9457699
2026-03-19 03:46:49.076,2522.500,2146.100,376.300,0.000,0.000,0,2517.198,7.9190527
